gene_id,acinar,alpha,beta,delta,ductal,endothelial,epsilon,gamma,unclear
gene_name-4681,1.9869163,-0.13214068,-0.13214047,-0.13214053,0.21574427,-0.1321405,-0.1321405,-0.008277026,-0.1321405
gene_name-4686,0.15197773,-0.39039692,-0.0050323573,0.73634547,0.29330936,-0.47583386,0.65280837,0.6191946,1.2532346
gene_name-4687,-0.06873915,-0.20731393,-0.20674606,0.09665957,0.7842621,0.23717797,-0.25053865,0.59861475,2.1437204
gene_name-4688,-0.27396455,-0.1795435,-0.18365337,-0.025336292,0.060222473,-0.2739646,1.371685,0.9302,2.294523
gene_name-4689,-0.1789219,-0.064129315,-0.07760322,0.2071244,-0.34136102,-0.34136096,1.7545208,0.33865002,-0.34136096
gene_name-4695,1.6259298,-0.11806837,-0.04209218,-0.25731683,0.43835038,2.2260714,-0.3150165,-0.24623892,-0.3150165
gene_name-4696,0.10315297,-0.21750829,-0.543219,0.98872507,0.24066643,-0.81885546,-0.8188555,0.5255719,1.8374074
gene_name-4769,-0.2430355,0.11633381,-0.24303547,-0.046911504,-0.2430355,-0.24303551,-0.24303551,0.14458896,-0.24303551
gene_name-4770,-0.87804204,-0.15372075,0.5800311,0.16972557,-0.8165874,-0.8780418,-0.097757876,0.45242554,-0.8780418
gene_name-4773,1.535337,-0.044206113,-0.15588768,-0.31284204,0.4958271,-0.8459793,0.5586509,-0.09148258,1.6980028
gene_name-4779,0.23698671,-0.11518908,-0.0056031807,-0.115189195,-0.115189224,4.4502654,-0.11518922,0.037558198,-0.11518922
gene_name-4781,-0.22410588,0.4392149,-0.63286656,-0.54407114,-0.8017267,-2.0128822,0.8065779,0.26563463,-0.7317005
gene_name-4787,0.22495092,-0.008608622,-0.066698946,-0.23822914,-0.09050974,-0.68740654,0.3060053,0.31529194,1.2346731
gene_name-4806,-0.11298171,-0.08554209,-0.11298177,-0.11298176,-0.11298171,7.2238126,-0.11298169,-0.11298176,-0.11298169
gene_name-4818,-0.1146256,-0.086845025,-0.114625566,-0.11462557,-0.1146256,7.4759307,-0.1146256,-0.114625566,-0.1146256
gene_name-4825,-0.15557316,-0.12805481,-0.08129723,-0.053203426,1.1414107,-0.15557319,-0.15557319,0.2856791,-0.15557319
gene_name-4831,-0.40491113,0.011443416,0.27612382,0.036627308,-0.40491113,-0.40491125,-0.40491125,-0.055326883,-0.40491125
gene_name-4832,-0.55325115,-0.08659595,0.20628367,0.3666717,-0.384522,-0.5532511,-0.5532511,0.17385824,-0.5532511
gene_name-4833,0.021186402,-0.10652755,-0.17427346,-0.094397895,0.035328377,6.708399,2.2631214,-0.17427346,2.19452
gene_name-4836,-0.12332973,-0.09194012,0.010384503,-0.12332968,1.3356827,1.0250381,-0.12332974,-0.12332968,-0.12332974
gene_name-4844,1.1667923,-0.30807948,0.22868235,0.18626101,0.6522672,-0.044188183,-0.8307528,0.047277424,0.048989594
gene_name-4845,-0.4562906,0.20632736,-0.3592451,-0.06400838,-0.4562906,-0.45629063,-0.4562906,0.16857658,-0.4562906
gene_name-4846,0.4576006,-0.21629743,-0.2527869,0.21209195,1.2474612,4.011503,-0.29285648,-0.111338615,-0.29285648
gene_name-4851,-0.10434617,-0.104345985,-0.104346246,-0.10434623,-0.10434618,7.3158584,-0.10434618,-0.10434623,-0.10434618
gene_name-4857,-1.2122504,0.08796494,0.54117364,-0.10488403,-0.7591845,-1.3886181,-0.5426378,0.026682556,-1.3886181
gene_name-4865,-0.04704252,0.30256778,-0.40204483,-0.5165643,-0.599427,-0.29511318,0.65172577,0.13422312,-0.5994268
gene_name-4866,-1.5125699,0.60500807,-0.38083398,-0.17408325,-1.5933526,-1.333984,0.82416636,-0.3377202,-0.48190206
gene_name-4875,0.09573225,-0.13595994,-0.28492856,-0.25622457,-0.40750828,-0.40750828,-0.40750825,1.2898979,0.79580706
gene_name-4877,0.8087348,-0.35834897,0.735245,0.56582636,-0.2978544,-0.40529713,-0.40529713,-0.23203863,-0.40529713
gene_name-4889,0.38334125,-0.2074363,0.25951648,-0.015482643,0.130954,2.0427582,-0.49409413,0.03404371,1.184382
gene_name-4907,-0.14006154,0.018197335,0.17253532,-0.14006148,-0.14006154,-0.14006151,-0.14006151,-0.029660199,-0.14006151
gene_name-4941,1.0390189,-0.16732465,-0.011444363,-0.124050066,1.0539187,0.6855108,-0.20697245,-0.20697238,3.13532
gene_name-4951,1.7400002,-0.068721384,-0.2631398,-0.13674697,1.0795674,-0.4760175,2.0286531,-0.40530592,1.2186526
gene_name-4952,-0.26658577,-0.17467046,-0.2665857,1.6240131,-0.2665858,-0.2665857,-0.2665857,-0.2665856,-0.2665857
gene_name-4956,-0.43029904,0.023371967,-0.2128763,0.088405915,0.04044571,0.043997187,0.01437977,0.2660182,-0.6069033
gene_name-5000,-0.5221049,0.051281124,-0.27590773,0.114083774,-0.09011992,-0.37295675,-0.5723967,0.38274336,-1.0174369
gene_name-5004,-0.22575344,-0.0066511985,0.03148182,-0.047487605,-0.19059467,0.649726,-0.35520884,0.14687622,-0.41521657
gene_name-5016,-0.26502863,0.045826767,-0.09480608,0.031497233,-0.19943494,-0.62139493,1.0864254,0.15849355,-0.98409396
gene_name-5051,-0.12144709,-0.095161825,-0.048458464,-0.12144709,-0.12144709,7.065199,-0.12144709,-0.12144709,-0.12144709
gene_name-5066,-0.8747638,0.10132935,0.57100827,-0.0045709372,-1.825454,-1.5396308,-1.2681049,0.12896901,-0.072702125
gene_name-5068,2.4930835,-0.16751787,-0.16567269,-0.21813576,0.49449694,-0.2181357,-0.21813568,-0.024655934,-0.21813568
gene_name-5071,0.13791014,-0.25289872,0.18823777,0.47603214,0.18695074,-0.21153116,0.5366784,0.06587373,2.4500723
gene_name-5072,0.7906137,-0.16308726,-0.08054251,-0.06525747,0.9392452,1.082322,-0.16308713,0.02310944,-0.16308713
gene_name-5077,-0.1572292,-0.13541083,-0.091128774,-0.15722932,0.3773049,7.560763,-0.15722921,-0.15722932,1.4273834
gene_name-5082,-0.065871485,-0.06587144,-0.06587152,-0.065871485,-0.065871485,3.2894192,-0.065871485,-0.065871485,-0.065871485
gene_name-5093,-0.35944954,0.11686967,-0.22966231,-0.15637536,-0.14266695,-0.46751228,-0.46751228,0.2730094,-0.46751228
gene_name-5105,0.10458781,-0.062199295,0.047708154,0.053028934,-0.18354845,3.0642283,-0.57937706,-0.17068605,0.6265585
gene_name-5106,1.3359284,-0.28530523,0.30272728,-0.030730527,0.9414288,1.5668231,-0.37145486,-0.33003,0.96393174
gene_name-5107,-0.704407,-0.2170867,-0.49968845,0.37753075,-0.62639964,-0.4069513,0.31054646,1.6680756,0.06177941
gene_name-5114,-0.010722908,0.10729316,-0.24766228,-0.17436211,-0.2476622,-0.2476622,-0.24766222,0.22148052,-0.24766222
gene_name-5119,-0.123967424,-0.09622132,-0.005973218,-0.123967506,1.745187,-0.12396743,-0.12396744,-0.12396751,-0.12396744
gene_name-5120,-0.1233239,-0.12332358,0.007688117,-0.12332391,1.9644885,-0.123323895,-0.123323895,-0.12332391,-0.123323895
gene_name-5134,-0.124121174,-0.094217256,-0.12412113,-0.005994235,-0.12412118,7.069961,-0.12412116,-0.12412118,-0.12412116
gene_name-5154,-0.20191965,-0.26948285,0.9782776,-0.12461531,-0.29527307,-0.4039714,-0.4039714,0.066374086,1.6901011
gene_name-5163,-0.18253428,-0.073753394,-0.10177257,-0.0999204,-0.18253428,-0.18253432,-0.1825343,0.68315166,-0.1825343
gene_name-5167,0.66148645,0.12851152,-0.37584022,-0.3415661,0.28721705,-1.1384773,0.7310426,0.009069474,1.2801389
gene_name-5168,-0.6109848,0.503416,-0.5658912,-0.500145,-0.6109848,-0.6109848,1.3785611,-0.21452902,-0.6109848
gene_name-5169,1.009709,-0.06435385,-0.1442873,-0.063452765,0.66747564,-0.22523461,1.409087,-0.21217641,1.1294034
gene_name-5173,0.3644105,-0.06279672,-0.14145835,-0.13421977,1.2362775,-0.35645208,-0.35645208,-0.044677906,0.72212136
gene_name-5175,-0.11317142,-0.08676005,-0.11317149,-0.11317145,-0.11317141,7.1562095,-0.11317141,-0.11317146,-0.11317141
gene_name-5180,-0.12348604,0.061149746,-0.12348598,0.15172063,-0.12348604,-0.12348604,-0.12348604,-0.12348604,-0.12348604
gene_name-5190,-0.76600736,0.48729444,-0.82107747,-0.66238755,-0.29235286,0.45480776,-0.9911572,0.25054553,-0.9911572
gene_name-5194,-0.9480608,0.30223978,-0.24419983,-0.18433659,-0.5273664,0.1115371,0.3982093,-0.10128187,-0.8338168
gene_name-5208,-0.1616104,-0.062319342,-0.03967253,0.13373217,0.18095234,3.0527334,-0.16161041,-0.1616105,-0.16161041
gene_name-5209,0.3843806,-0.09369663,0.07763226,0.63240844,-0.5426318,-1.1547592,0.3755649,-0.18836972,0.77599907
gene_name-5214,-0.7198686,-0.043537464,0.80871344,0.08840323,-0.3666175,-0.41823474,0.14604706,-0.4914461,-0.71986854
gene_name-5218,-0.24068208,-0.122955374,0.73186845,-0.15422735,-0.24068208,-0.24068202,-0.24068204,-0.10822857,-0.24068204
gene_name-5219,1.1841295,-0.007705369,-0.19772227,-0.23952028,0.34985813,1.1880056,1.2613552,-0.29440236,1.5285609
gene_name-5228,-0.065711305,-0.06571123,0.07217508,-0.065711275,-0.065711305,1.6119074,-0.06571132,-0.065711275,-0.06571132
gene_name-5234,-0.2577427,-0.2082317,0.8824145,-0.055944495,-0.08724532,0.3954395,-0.25774264,-0.19091263,-0.25774264
gene_name-5246,0.27436203,-0.012942006,-0.10447442,-0.10447437,0.26910543,-0.10447431,-0.10447432,0.056285795,-0.10447432
gene_name-5252,3.4990852,-0.26689467,-0.05144523,-0.17711121,0.15758945,0.67984223,-0.2811452,-0.22038087,1.200704
gene_name-5263,1.3238089,-0.17264304,0.27995163,-0.14522275,-0.14353484,-0.80384296,-0.8038429,0.13883467,-0.8038429
gene_name-5270,1.7150334,-0.23374018,-0.059681565,-0.09802908,0.36923105,0.21627565,-0.293441,0.21872838,1.3539886
gene_name-5281,-0.07990596,-0.033022575,0.05749698,-0.07990597,-0.07990596,-0.07990595,-0.07990595,0.100092344,-0.07990595
gene_name-5283,-0.35522392,-0.14064567,0.316417,0.20175284,-0.3365101,0.068438254,0.7028888,0.18568775,-0.45224616
gene_name-5288,-0.52051747,-0.13040902,0.42971414,0.008205897,-0.28459135,-0.17332594,-0.5205175,0.29549667,-0.5205175
gene_name-5293,0.40855172,-0.036135573,-0.14463423,-0.015799139,0.32327345,-0.023951074,-0.72510517,0.1163805,-0.72510517
gene_name-5295,1.2835557,-0.2209317,0.3341527,0.14977549,0.21938796,-0.48172036,-0.03737992,-0.25678948,0.36654437
gene_name-5300,-0.08103755,-0.08103753,0.19515528,-0.081037536,-0.08103755,-0.08103756,-0.08103756,0.098980986,-0.08103756
gene_name-5317,-0.08036912,-0.08036911,-0.08036912,0.10982665,-0.08036912,-0.08036912,-0.08036913,0.27964383,-0.08036913
gene_name-5348,0.7941386,-0.18430303,-0.20113184,-0.061950054,0.16974564,5.136008,-0.20113188,0.12800436,-0.20113188
gene_name-5365,-0.16220953,-0.0216773,-0.06719064,-0.16220953,0.049102187,-0.16220953,-0.16220953,0.39483708,-0.16220953
gene_name-5395,-0.33325925,0.09871423,-0.25407505,0.10491172,-0.23980652,-0.5228038,-0.5228038,0.16545987,-0.5228038
gene_name-5407,-0.08151778,-0.08151796,-0.081517726,-0.08151774,1.2932343,-0.08151776,-0.08151777,-0.08151774,-0.08151777
gene_name-5418,-0.14682254,-0.12296112,-0.08233279,-0.14682248,0.08934402,6.1414814,-0.14682257,-0.05015238,3.7997715
gene_name-5422,-0.67588186,0.16456173,-0.4738608,0.32197022,-0.14712094,-1.3880113,0.18634439,0.105172165,0.82125854
gene_name-5426,-0.07998982,0.05914783,-0.07998988,-0.079989865,-0.07998982,-0.07998983,-0.07998983,-0.079989865,-0.07998983
gene_name-5430,-0.18060157,0.060908712,-0.22245029,0.301886,0.08592274,-0.18594152,-0.8277636,-0.17087476,0.69301236
gene_name-5445,-0.115320705,-0.07447675,-0.11532071,0.5602101,-0.115320705,-0.115320735,-0.115320735,0.015210141,-0.115320735
gene_name-5480,-0.32461676,0.506602,-0.44196063,-0.53465796,-0.53552234,-0.6006456,0.22621992,-0.47636575,0.053408325
gene_name-5482,0.35427207,-0.029953798,-0.062364742,0.08289213,-0.15606211,-0.15606211,2.6988297,-0.027787512,-0.15606211
gene_name-5483,-0.0652843,0.028346252,-0.06528427,-0.06528427,-0.0652843,-0.06528431,-0.06528431,-0.06528427,-0.06528431
gene_name-5490,-0.08026735,-0.034505166,-0.0802674,0.3001202,-0.08026734,-0.08026736,-0.08026736,-0.080267385,-0.08026736
gene_name-5522,-0.8975452,0.93264544,-0.85746735,-0.87999874,-0.87983245,-0.640631,-0.95492417,-0.81099135,-0.95492417
gene_name-5537,0.3500196,-0.046543892,-0.09349026,0.074737415,-0.093490355,-0.093490355,-0.09349035,0.08675059,-0.09349035
gene_name-5538,0.86223495,-0.32693836,0.32507968,0.41322362,0.7696583,0.06489042,-0.44657046,-0.23126313,1.5375259
gene_name-5579,-0.14906451,-0.061015964,-0.0508044,0.26018873,-0.14906453,-0.14906448,-0.14906448,0.19531412,-0.14906448
gene_name-5592,0.30811688,-0.22598842,0.11450868,0.08809233,0.18673693,1.3163177,3.052576,0.1164751,2.227632
gene_name-5607,-0.19940116,-0.033058543,-0.076440945,0.21178252,0.031471096,-0.19940118,-0.19940118,0.059983406,1.5972534
gene_name-5624,-0.07908841,-0.07908826,-0.07908837,-0.07908843,1.235481,-0.0790884,-0.0790884,-0.07908841,-0.0790884
gene_name-5625,-0.13384524,-0.1338449,-0.014455288,-0.1338453,2.20774,-0.13384521,-0.13384521,-0.1338453,-0.13384521
gene_name-5630,0.015896825,-0.05364225,-0.08688292,-0.09537913,1.3765228,-0.17941554,-0.17941554,-0.10522419,-0.17941554
gene_name-5631,-0.08043011,-0.08043011,-0.08043006,-0.080430076,1.2518954,-0.0804301,-0.080430105,-0.080430076,-0.080430105
gene_name-5633,-0.06337391,-0.06337379,-0.063373886,-0.06337387,0.828602,-0.0633739,-0.0633739,-0.06337387,-0.0633739
gene_name-5640,-0.06428679,-0.064286925,-0.064286746,-0.06428676,-0.06428679,3.2904751,-0.064286776,-0.06428676,-0.064286776
gene_name-5658,-0.20658268,0.024347235,-0.05947232,-0.032038964,0.32057703,0.13436437,-0.3314013,-0.024824262,-0.3314013
gene_name-5661,-0.10517762,-0.023968337,-0.10517752,0.08178508,0.7838119,-0.10517759,-0.105177596,-0.10517756,-0.105177596
gene_name-5666,-0.9759445,0.58548176,-0.82671803,-0.8151515,-0.9759445,-0.7337799,-0.9759445,0.49905342,-0.9759445
gene_name-5674,-0.2986946,-0.4020227,0.7679573,1.3037992,-0.47453585,-0.47453573,2.1921275,-0.40362373,-0.47453576
gene_name-5675,0.37734058,-0.103792235,-0.103792325,0.029751444,0.25383016,-0.10379243,-0.10379243,0.23874442,-0.10379243
gene_name-5676,-0.17678379,-0.114980064,-0.027214883,-0.025740191,-0.17678379,-0.17678379,-0.17678377,0.6685918,-0.17678377
gene_name-5678,-0.08124159,-0.0812416,0.056857593,-0.0812416,0.8352349,-0.08124158,-0.08124158,-0.0812416,-0.08124158
gene_name-5680,-0.041698206,-0.24605414,0.039483692,-0.17260039,0.037422836,-0.5078041,-0.7726982,1.127374,0.33943984
gene_name-5692,-0.74096274,-0.06437327,-0.2716098,0.9583289,-0.5725964,-0.74096256,2.5045078,0.21343406,-0.7409626
gene_name-5695,-0.066451505,-0.06645133,-0.066451535,-0.066451535,0.8486805,-0.06645149,-0.06645149,-0.066451535,-0.06645149
gene_name-5696,-0.105152234,-0.105152145,-0.10515216,-0.105152175,-0.10515223,-0.10515224,-0.105152234,0.7282103,-0.105152234
gene_name-5707,-0.084561385,0.01211291,-0.20395146,0.017120607,-1.0464593,0.046826754,-0.64747435,0.6805381,-0.4607327
gene_name-5708,-0.25822264,-0.07955355,-0.045226462,-0.13159889,1.075045,-0.2582227,-0.2582227,0.08118657,3.3356714
gene_name-5711,1.769258,-0.13584583,-0.11480295,-0.1821493,0.76951224,0.681109,-0.18214937,-0.18214929,-0.18214937
gene_name-5714,1.8939168,-0.10365409,-0.107629366,-0.15457457,-0.27987334,-0.27987325,-0.27987325,0.13426311,-0.27987325
gene_name-5715,-0.18737596,-0.12549874,-0.0446596,-0.10267158,1.6726826,-0.18737592,1.7788699,0.013591011,-0.18737593
gene_name-5722,0.8676959,-0.09359875,-0.093598835,-0.093598835,0.72326255,-0.09359882,-0.09359882,-0.093598835,-0.09359882
gene_name-5724,0.023208657,-0.034674503,-0.280978,-0.10012089,1.0137867,3.3690202,-0.28097814,-0.21401009,1.4072609
gene_name-5725,-0.121847376,-0.15279824,-0.28968865,1.4364344,-0.020628376,-0.28968862,-0.28968862,-0.28968883,-0.28968862
gene_name-5733,-0.25344864,-0.029118456,0.32612452,-0.031062707,-0.068846114,0.3840767,-0.2534487,-0.18489122,-0.2534487
gene_name-5736,1.0009936,-0.28337857,-0.050651178,0.44557068,1.2793084,-0.3335333,-0.3335333,-0.16142273,1.7754095
gene_name-5745,0.8656994,0.2780188,-0.34154525,-0.37844956,-0.44851285,-0.124441884,-0.70447814,-0.34877226,-0.70447814
gene_name-5759,2.4262059,-0.13964504,-0.100389525,-0.1652584,-0.1652584,-0.1652584,-0.16525838,-0.067392185,1.8933218
gene_name-5770,-0.10319699,-0.10319708,-0.10319707,-0.10319705,0.69500774,4.159924,-0.103197,-0.10319705,-0.103197
gene_name-5799,-0.066302456,-0.019482415,-0.066302456,0.12362789,-0.066302456,-0.06630247,-0.06630246,-0.066302486,-0.06630246
gene_name-5848,0.21993577,-0.22657412,-0.016713483,-0.0968038,1.8421817,1.8380213,-0.29063293,-0.059423264,1.3991334
gene_name-5854,1.9473232,-0.2162486,-0.17296232,-0.18445995,1.8914145,-0.29604498,-0.29604498,-0.19014919,-0.29604498
gene_name-5856,-0.052237052,-0.10032306,-0.019590074,-0.0275755,-0.2080193,6.0380464,-0.20801935,-0.09395971,-0.20801935
gene_name-5859,-0.11312946,-0.08027085,-0.0072104833,-0.11312949,-0.11312945,5.5224686,-0.11312945,-0.1131295,-0.11312945
gene_name-5862,-0.08172025,-0.08172034,0.056385446,-0.0817203,0.8347997,-0.081720255,-0.081720255,-0.0817203,-0.081720255
gene_name-5869,-0.15626174,-0.10084106,-0.07551513,-0.038349714,0.404706,4.33157,-0.15626176,-0.031435777,-0.15626176
gene_name-5876,-0.08010183,-0.03322657,0.057981662,-0.080101795,-0.08010184,1.5999151,-0.08010182,-0.0801018,-0.08010182
gene_name-5880,0.87223333,-0.041854773,0.0078518195,-0.16120407,0.38490134,0.69939035,-0.2841779,-0.22990927,-0.2841779
gene_name-5888,0.49034646,-0.31363532,0.13218896,0.14641804,0.11408155,0.990791,-0.0027073026,0.51336586,1.2634126
gene_name-5889,1.909704,-0.1236396,-0.20645052,-0.20645055,0.65268683,-0.2064507,1.8707448,-0.07067029,-0.2064507
gene_name-5894,0.37717336,0.017197756,0.21023923,-0.49820983,-0.2674367,0.22387189,-0.2905336,0.090211414,-0.24544999
gene_name-5904,0.3673408,-0.32259196,0.035234332,0.16976263,0.36546212,0.77426887,1.0265007,0.5755826,1.551178
gene_name-5906,0.9933191,-0.144431,-0.04006358,-0.08172992,0.6793115,1.817428,-0.28459162,-0.20687199,1.876936
gene_name-5907,-0.022120282,-0.12686577,-0.21466245,0.28271413,-0.053388074,0.025000444,0.6284898,0.46426487,1.0979571
gene_name-5911,1.9311645,-0.14401945,-0.095637396,-0.16856955,0.25764176,0.62434375,-0.16856952,-0.16856955,3.3441486
gene_name-5935,0.37937063,-0.048739366,0.27128395,-0.6370969,0.22656807,0.79361564,-0.1984224,0.10109947,0.7318365
gene_name-5942,-0.19560362,-0.0955666,-0.12431469,0.14606452,-0.35001877,-0.5356129,-0.5356129,0.6972247,-0.5356129
gene_name-5945,-0.110232174,-0.03951327,0.12581073,-0.2623217,0.28760007,0.30698913,-0.26232183,-0.05396386,5.4533043
gene_name-5956,-0.11437693,-0.11437668,0.016288718,-0.114376985,1.7617935,-0.114376925,-0.114376925,-0.114376985,-0.114376925
gene_name-5958,-0.17676662,-0.04477556,0.056417726,0.016721776,0.38788214,-0.17676662,-0.17676662,-0.09181942,3.178377
gene_name-5968,0.06879232,-0.15462103,-0.15462086,-0.058493566,1.053575,4.588739,-0.15462083,-0.06975512,-0.15462083
gene_name-5972,-0.11400531,-0.08186373,-0.009302248,-0.114005245,0.6144975,1.5716623,-0.11400531,-0.11400523,4.5046015
gene_name-5985,-0.27430722,-0.27430722,-0.27430722,1.8293715,-0.27430722,-0.27430722,1.2142224,-0.11419643,-0.2743072
gene_name-5987,0.0850537,-0.15265618,-0.02844071,-0.044256132,-0.15265585,7.18058,-0.15265588,-0.15265594,2.2928088
gene_name-5992,-0.2629334,-0.08485721,0.21999346,0.31727028,-0.2629334,-0.26293346,-0.26293346,-0.01241249,-0.26293346
gene_name-5993,-0.06322002,-0.08473111,-0.19982527,-0.29247388,1.1080362,3.6274693,-0.34383187,0.086908154,-0.34383187
gene_name-5996,-0.64081967,0.5849065,-0.6155491,-0.4071418,-0.6408196,-0.6408197,-0.6408197,-0.47683993,0.071717024
gene_name-5998,-0.092475876,-0.045534138,0.2751627,-0.09247588,-0.09247588,-0.09247586,-0.09247586,-0.09247588,-0.09247586
gene_name-6000,1.3246744,-0.20267442,0.40301397,-0.44473386,0.81665415,-0.4712162,-1.041274,-0.051271487,-0.13880527
gene_name-6001,1.4853534,-0.2951925,0.6240533,-0.66355366,0.88493514,-0.09106549,-1.1825838,0.08710986,0.22564125
gene_name-6002,0.50120574,-0.25809178,0.66262287,-0.41324395,0.21315464,-0.54551154,-1.786801,0.36706552,0.048238695
gene_name-6012,0.25316572,-0.06713431,-0.0010118444,0.055546757,0.6188952,-0.8500568,0.94912934,-0.0995314,0.7037206
gene_name-6025,-0.09281996,-0.09281993,0.045437682,-0.09281999,0.7309579,-0.09281998,-0.09281998,-0.092819996,4.3347635
gene_name-6036,0.1641866,0.3486043,-0.54910713,-0.2741301,-0.41662148,-0.61292267,0.38452464,-0.23938034,0.84767735
gene_name-6040,-1.2944183,0.54294664,-0.61319,-0.035859022,-1.3267069,-0.9035732,-1.3876896,-0.048706777,-1.3876896
gene_name-6042,-0.13176449,-0.11165594,-0.040735338,-0.13176444,2.0648494,-0.13176449,-0.13176449,-0.13176444,-0.13176449
gene_name-6061,-0.9087516,0.3454286,0.45058346,-0.8656033,-0.8548559,-1.1449738,-1.3316559,-0.22147165,-0.72828996
gene_name-6063,0.3994759,-0.08055044,-0.08055052,-0.08055046,0.8358631,-0.080550484,-0.080550484,-0.08055048,-0.080550484
gene_name-6064,0.55520505,-0.20619908,0.12927121,-0.012870044,0.54741484,0.17934091,0.21894616,0.2088238,-0.6661798
gene_name-6066,0.051185403,-0.031525224,-0.33796194,-0.10222935,0.8372431,2.251483,0.86044765,0.05383002,-0.43560526
gene_name-6079,-0.14856608,-0.14856574,-0.14856619,1.1128434,-0.14856607,-0.14856611,-0.1485661,-0.14856616,-0.1485661
gene_name-6086,-1.2819425,0.03777182,0.10525335,0.98715097,-0.9521557,-0.96599036,0.5651387,-0.23260103,-1.2819426
gene_name-6089,-0.32636085,-0.1205734,-0.23857668,1.3876446,-0.32636082,-0.3263609,-0.3263609,-0.23051141,-0.3263609
gene_name-6093,0.5415983,-0.10280351,0.3086944,-0.010285912,-0.13254803,-0.13254802,-0.13254802,-0.13254796,-0.13254802
gene_name-6094,-1.4624554,-0.08252721,0.23938335,0.66292965,-1.4668368,-1.5891925,-1.5891925,0.78583866,-1.5891925
gene_name-6095,0.17666633,0.07238689,0.095332116,-0.22240531,0.5672111,-0.42182842,0.51989055,-0.53089064,2.1487098
gene_name-6096,0.8085563,-0.08616662,-0.047585465,-0.18288654,0.32567424,0.6462756,1.0531526,-0.031915337,1.6756473
gene_name-6098,-0.4233702,0.2035332,-0.22244658,-0.35204768,-0.42337024,0.0102079315,-0.42337012,0.15058541,0.8475226
gene_name-6104,-0.11386863,-0.113868706,-0.11386868,0.028555827,1.4319198,-0.11386865,-0.11386864,0.033604745,-0.11386864
gene_name-6111,0.6660451,-0.23808542,0.2937657,0.009062097,0.80762845,0.82906216,-0.321686,-0.15190591,0.84209776
gene_name-6132,0.88014895,-0.07983506,-0.079835095,-0.079835154,-0.07983515,-0.079835124,-0.07983513,-0.07983514,4.014049
gene_name-6139,-0.065968744,-0.06596858,-0.06596871,-0.065968744,0.8491191,-0.065968744,-0.065968744,-0.065968744,-0.065968744
gene_name-6143,0.046587434,-0.047825504,-0.34930468,0.34767258,0.017130494,-0.22986066,2.064231,0.15008819,2.4228292
gene_name-6147,-0.08096791,-0.034079686,0.057127547,-0.08096791,0.3624304,-0.08096791,-0.08096791,-0.08096791,-0.08096791
gene_name-6153,0.6425668,0.00054338423,0.3214214,-0.36705178,-0.052275408,-0.57557833,-0.86898035,-0.2124182,0.30807087
gene_name-6158,0.35873055,-0.09605456,-0.14410122,-0.14410125,0.9164733,3.2931318,-0.14410128,-0.14410125,-0.14410128
gene_name-6160,2.7257206,-0.15293701,-0.071085945,-0.22594236,0.12335119,-0.22594227,-0.22594227,-0.22594237,2.2760408
gene_name-6168,2.8658023,-0.10467122,-0.3689589,-0.34936595,0.91656834,-0.4226236,-0.4226236,-0.2245105,1.7810407
gene_name-6180,-0.104721636,-0.05772298,-0.104721576,0.04594847,0.69727415,-0.10472161,-0.10472162,0.07571983,-0.10472162
gene_name-6181,0.9542367,-0.20543197,-0.05854546,-0.19005127,2.3522246,-0.25571725,-0.25571725,-0.19136289,-0.25571725
gene_name-6194,-0.8395117,0.9059404,-0.952068,-0.79351807,-1.0326447,-1.2109078,-0.8957752,-0.5580898,-1.2808938
gene_name-6195,-1.6882682,0.5102376,-0.4542182,0.18236631,-1.1652352,-1.8938085,-1.1412618,-0.1745821,-0.84890133
gene_name-6197,0.32541284,-0.09321211,0.038174137,-0.09321208,0.36341944,-0.093212046,-0.093212046,-0.09321208,4.953394
gene_name-6199,0.6846973,-0.14547634,0.120421015,0.04183141,0.24809955,-0.22998215,0.49636054,-0.03727043,1.4535702
gene_name-6200,-0.74520797,0.17047538,-0.05018457,-0.109571986,-0.3248917,-0.10934493,-0.6476466,-0.07922745,1.001841
gene_name-6203,-0.7697804,0.45498583,-0.43301094,-0.32580572,-0.68284667,-0.9350738,-0.93507373,-0.22256099,1.0937712
gene_name-6205,0.37252766,-0.29242852,-0.0120598925,-0.12182233,0.40155515,-0.38808095,-0.38808095,0.98396164,0.77732724
gene_name-6213,-0.8300419,0.797002,-1.0045669,-1.0262768,-0.95477104,-1.0556157,0.28852445,0.03307733,-0.64463353
gene_name-6217,-0.83301705,0.2720075,-0.029916333,-0.35247228,-0.5732345,-0.8330169,0.32649362,-0.026803361,-0.8330169
gene_name-6221,2.2376676,-0.25595832,0.059435308,-0.33511305,1.459066,0.10702777,-0.4865629,-0.23936895,1.5491211
gene_name-6242,-0.3542751,-0.28713003,1.028116,-0.11182086,-0.012590215,0.37192127,-0.35427508,-0.091088586,1.9508938
gene_name-6248,0.7553156,-0.058266647,0.020805497,-0.105145924,0.29680002,-0.10514588,-0.10514589,-0.105145924,-0.10514589
gene_name-6282,-0.13582309,-0.09729427,0.06069881,-0.13582315,-0.13582307,-0.13582309,10.0,0.1351306,-0.13582309
gene_name-6290,0.042251904,-0.040544737,-0.18832201,-0.10212657,1.0709981,1.7100855,-0.18832186,-0.10855699,-0.18832186
gene_name-6292,-0.12344727,-0.12344739,-0.010917181,-0.123447314,0.88303894,3.8724155,-0.123447284,-0.123447314,-0.123447284
