index,B-cell,CD14+ Monocyte,CD4 T-cell,CD8 T-cell,Dendritic cell,FCGR3A+ Monocyte,Megakaryocyte,NK cell
TMEM165,0.040588595,-0.010771762,-0.07474092,0.05151367,0.094983965,0.21651825,0.19474037,-0.0844601
PAICS,0.035065547,-0.068003915,0.06567271,-0.11100107,-0.011122813,-0.13176763,0.062703975,0.085081466
SRP72,0.08790546,-0.04982386,0.0027559013,-0.076933526,0.08433242,0.026410602,0.29354995,-0.030362045
HOPX,-0.058962878,-0.3645921,-0.27877277,0.67292655,-0.37731206,1.8395888,-0.18046144,-0.17057306
IGFBP7,-0.2544917,0.24844356,-0.26609758,-0.25639766,0.09474243,2.0822384,0.53972584,-0.27403712
YTHDC1,0.044400997,0.024415921,-0.021686561,0.009018207,-0.06893088,-0.080756575,-0.14532503,0.017956631
IGJ,-0.10089027,-0.13328975,-0.106144644,-0.09485933,-0.09759078,-0.05100936,0.47218284,0.6165994
GRSF1,0.026442928,0.033623267,-0.06519777,0.0046358095,0.109877296,0.035774734,0.32025835,-0.07980896
IL8,-0.18768266,0.8126689,-0.21532694,-0.20965701,0.12709127,-0.23286307,-0.029706731,-0.24805103
PF4,-0.10249684,-0.020374313,-0.096083224,-0.044741984,0.050915375,-0.10859674,0.11962749,-0.029557737
PPBP,-0.09633183,0.05944223,-0.09792924,-0.076856114,0.061812315,-0.14162701,-0.071253136,-0.058499265
CXCL3,-0.05216585,0.068701826,-0.037095085,-0.052165814,0.01583551,-0.0521656,-0.052165635,-0.052165814
CXCL2,-0.11577005,0.43009493,-0.10975021,-0.10738065,-0.0038398725,-0.13003807,0.2750448,-0.13003819
EREG,-0.12615564,0.38039172,-0.10876643,-0.054200903,-0.03617311,-0.12615526,0.38234845,-0.10498279
RCHY1,-0.010041682,-0.053533312,-0.04168815,0.20315766,-0.104623124,-0.032735713,0.09167123,0.011099422
SDAD1,0.056341577,-0.048445046,-0.036165703,0.021096403,0.06509403,0.024631085,0.12823886,0.0037799275
CXCL10,-0.061393734,0.0729805,-0.046309188,-0.061393734,0.13576229,-0.06139373,-0.061393708,-0.032060225
NUP54,0.124853216,-0.14892876,0.009003339,0.09899905,-0.011932981,-0.004636216,0.077421166,-0.06253623
SEPT11,0.029442623,-0.07039419,0.007906598,0.060753483,-0.03658446,0.13958871,0.002948027,-0.071798906
MRPL1,0.00012694592,-0.15285794,0.11733912,-0.013136841,-0.13536508,-0.016815877,0.091618225,0.06371113
ANTXR2,0.093241476,-0.0046938723,-0.06446949,0.03358505,-0.030369205,-0.1303799,0.4283616,0.01044703
SEC31A,0.02622137,-0.054143846,0.0025920486,0.022262797,0.032647047,0.015924267,-0.085903764,0.0103492625
COPS4,0.15081805,-0.15298007,-0.044981282,0.10279729,0.033380114,0.055209488,-0.07169863,-0.011099242
HELQ,0.0024662584,0.0070547736,-0.06370278,0.009485393,0.1923619,-0.09689937,-0.07646829,0.058084734
ARHGAP24,-0.17457883,0.00010780181,-0.14486793,-0.17457943,-0.02018819,-0.17457919,-0.08758135,0.76361734
SNCA,-0.13888149,0.24496928,-0.113892436,-0.11623366,0.02922318,-0.011536249,0.42380005,-0.13888143
DNAJB14,0.08749447,-0.13151549,0.008763352,0.13424926,-0.067434385,0.13819277,0.08678168,-0.11867202
MANBA,-0.0420021,0.15070598,-0.06386735,-0.07340816,0.14807536,-0.0027526943,0.17805019,-0.045086622
UBE2D3,0.23951367,-0.09055814,-0.07210941,0.072200686,0.109730504,0.07349044,0.30070052,-0.2012977
PPA2,0.15074591,-0.10330481,-0.027473044,0.0078046108,0.0050096693,0.13555348,0.23360607,-0.08164427
INTS12,0.050436925,-0.07830083,-0.03426841,0.035144784,0.01911781,-0.060761593,0.25559628,0.047389522
TBCK,0.06475715,-0.077971436,0.029064782,-0.044932257,-0.0013459031,-0.059535094,0.16231257,-0.03992678
OSTC,0.1656096,-0.11570665,-0.039716776,0.10186028,-0.10136938,0.18186592,0.59556735,-0.14736865
PLA2G12A,0.049078632,-0.08761013,0.009560613,-0.06305195,-0.043111708,0.051157247,0.19628274,-0.06015914
SNHG8,0.049604475,-0.20197381,0.1373649,0.05886802,-0.15590861,-0.21581998,-0.047322195,0.07761134
C4orf3,0.052534882,-0.113243096,0.041268677,-0.078395426,0.2465068,0.044197366,-0.06819851,-0.053391375
SPRY1,-0.021216493,-0.06710132,-0.039911583,0.11965833,-0.08316357,-0.08316355,-0.083163716,0.06382105
PGRMC2,0.022697419,-0.052666206,-0.02083154,0.04838241,0.012637058,-0.03541597,0.05026436,0.0466586
C4orf33,0.004138553,0.07038739,-0.068309315,-0.04458655,0.17046686,0.05766565,0.112010315,-0.07077307
RP11-102N12.3,-0.09639598,0.12818243,-0.09639646,-0.07389868,-0.05010735,-0.096395545,-0.09639567,0.20316342
ZNF330,-0.013495827,0.0044543683,-0.021174535,-0.0004011981,0.09641477,-0.0038422965,0.19378382,0.0012951477
USP38,0.04072999,-0.040366795,-0.008790568,-0.0043333936,0.13258599,-0.0010050086,0.43375283,-0.10488036
LSM6,0.009638084,0.081716396,-0.054722644,-0.09501182,0.5673632,-0.04676739,0.21474053,-0.15231651
LRBA,-0.034194816,-0.15877478,0.11503456,0.0636883,-0.10853413,0.014405102,-0.15893652,0.042975012
RP11-18H21.1,0.19465232,-0.16044126,0.19829325,-0.0444355,-0.15042964,-0.2030387,-0.20303835,-0.17487416
PLRG1,0.013823988,-0.15716194,-0.009090893,0.052543048,0.10661363,0.061682105,0.08995021,0.0981341
PALLD,-0.062912434,0.017751928,-0.047825456,-0.03399631,-0.062912606,0.2638056,-0.062912606,-0.06291255
RWDD4,0.07186535,-0.031913035,-0.024026262,-0.012934745,-0.025217135,-0.01785996,-0.0024741064,0.04176912
RP11-701P16.5,-0.049984515,0.06999474,-0.049984332,-0.02110528,0.01932571,-0.049984485,-0.04998457,-0.049984664
KIAA1430,0.13477457,-0.13954064,0.064839534,0.053047553,-0.099656664,-0.051808733,-0.049614727,-0.07523677
MARCH6,0.13057624,-0.1184559,-0.022781882,-0.03637261,-0.050156113,0.03696781,0.0023310855,0.08704029
C5orf42,-0.030177103,-0.012836451,-0.022985158,-0.05312936,-0.053129576,0.012150501,-0.053129528,0.0024952595
FYB,0.33978334,0.022087699,0.21345729,-0.16420247,0.09585455,-0.29239738,-0.24450862,-0.61083764
FBXO4,0.071298085,-0.12718803,-0.032815743,-0.0040253242,0.07895283,0.25105634,-0.09299037,0.019806502
NNT-AS1,0.07185153,-0.05345501,-0.023117032,0.036511414,-0.114518985,0.018888725,-0.036373977,0.023935843
EMB,0.062331453,-0.09408825,0.025993437,0.08050956,-0.2013775,0.11255217,0.058272243,-0.034269985
MOCS2,0.112283826,-0.09093112,0.040342074,-0.0010779104,-0.07935976,-0.023569047,-0.18062338,-0.05080835
GZMK,-0.14234807,-0.30701375,-0.20640667,1.4115884,-0.2742857,0.015178222,-0.23083758,-0.25980484
GZMA,-0.3032151,-0.4029725,-0.3524062,1.310155,-0.40429646,2.2436857,-0.47135374,-0.44651508
ZSWIM6,-0.012000361,0.0740254,-0.035706818,-0.052080154,0.0899081,-0.08104868,0.1192507,-0.08104884
DIMT1,0.101684,-0.102625355,0.031659238,0.12075183,-0.10621552,-0.03760296,0.023202848,-0.09945171
CWC27,0.050734166,-0.07015519,-0.0028281547,0.113695584,-0.043220393,0.08031939,0.27131116,-0.11228096
TRIM23,-0.0014758209,-0.055215985,0.03880043,-0.0344353,-0.041396435,-0.024648057,-0.09016865,0.020500576
PIK3R1,0.09017734,-0.10585671,0.04769029,0.092846826,0.026282767,-0.12063139,-0.0054925326,-0.10046791
NAIP,-0.035740305,0.1997152,-0.07866948,-0.06515603,-0.0933552,0.03262517,0.2220621,-0.093355194
GTF2H2,-0.0098871915,-0.09490019,0.052786574,-0.0029630736,-0.050642148,0.039261438,0.005314035,0.042365003
NSA2,0.14080709,-0.08811909,0.06241681,-0.053543426,-0.15583052,-0.06801562,-0.00011406839,-0.014476843
CTD-2015H6.3,-0.004421035,-0.030172057,0.009958852,-0.05031287,-0.05031289,-0.050312895,-0.050312843,-0.05031288
ZCCHC9,-0.018981203,-0.051340237,0.044714205,-0.0038861344,0.09000758,-0.16064008,-0.024817921,0.05625
ARRDC3,-0.052553948,-0.14403762,0.10175783,-0.046921704,0.045187693,0.07691434,-0.031668972,0.060065433
RIOK2,-0.005617839,-0.09044649,0.061912593,0.059263576,-0.10392158,0.17614435,0.14429827,-0.10284765
DCP2,-0.08990106,0.09444927,-0.054649897,-0.047328636,0.12837657,0.18098557,-0.04746672,0.0027642625
AP3S1,0.037307538,0.07249466,-0.12713188,0.02064206,0.12001978,0.05211051,0.12990746,-0.024816537
COMMD10,0.07613047,-0.052912854,-0.06079605,0.004246101,0.12500821,0.04363246,0.15444167,0.008809012
CEP120,0.07891322,-0.063427344,-0.03801939,0.042513717,-0.07169286,0.025255263,-0.028511073,0.029070623
ISOC1,0.050964713,-0.05678086,-0.0317521,0.12952979,0.036625177,0.03071245,-0.028954996,-0.08523855
HINT1,0.4461967,-0.4792806,0.27619004,-0.0903369,-0.50176084,-0.28444335,0.3318672,0.034045395
SLC22A4,-0.049681377,0.05101712,-0.04968121,-0.049681548,0.088934734,-0.049681567,0.26437095,-0.04968156
C5orf56,0.0073516704,-0.12004116,-0.16023035,0.13922288,-0.0003389194,0.8464695,-0.15310937,-0.017243965
KIF3A,0.095745794,-0.10100492,0.04039153,0.03909273,-0.023473073,-0.035031434,-0.14634962,-0.05934537
C5orf15,0.022317765,-0.007902959,-0.03842725,-0.12085611,0.12953769,0.033198748,0.15431848,0.10053985
CTB-113I20.2,-0.011327443,-0.00036423717,0.003062404,-0.05725096,-0.057250943,0.008055886,0.14361657,-0.027929526
PPP2CA,0.11876802,-0.11302211,-0.07171872,0.016651725,0.04921608,0.21973924,0.12840417,0.0011562008
DDX46,-0.021604823,0.06340266,-0.00411134,0.058661807,0.0010290326,0.04655695,0.048411697,-0.1271504
H2AFY,-0.050535843,0.60746026,-0.29929844,-0.18993954,0.5286169,-0.14461304,1.2601354,-0.30275133
KDM3B,0.02720619,0.0028592388,-0.033107843,-0.099296615,0.27969405,-0.025060538,-0.15643646,0.019234173
MZB1,-0.095380984,-0.1376964,-0.12688881,-0.099609345,-0.13818029,-0.08856549,0.7360904,0.7044982
UBE2D2,0.23559904,-0.27389893,0.036800094,-0.018703563,-0.14099072,0.08727172,0.1058923,0.06650704
PURA,0.0052477736,-0.059835177,0.011913629,0.09176197,-0.123897344,0.18042088,0.07807067,-0.1024429
HBEGF,-0.07817386,0.33246982,-0.099405624,-0.085801765,-0.01899999,-0.11202879,0.12090577,-0.08254742
ANKHD1,0.07105652,-0.05003721,-0.0226766,0.1334883,-0.111766316,-0.052894995,0.12061979,-0.057366513
SRA1,-0.102395795,0.28941736,-0.16653337,-0.124273345,0.4206634,0.08512242,0.4650608,-0.09008512
NDUFA2,-0.12748656,0.2268348,-0.08336439,0.00057931704,0.25175035,0.07032478,0.2019566,-0.15290782
WDR55,0.045998506,-0.059680242,-0.06538555,0.013779314,0.015871137,0.29045293,0.29132667,-0.03299385
DIAPH1,-0.008211806,0.003511861,-0.07589346,0.0667847,0.13166198,0.28860068,0.31223634,-0.17335907
RNF14,-0.035414048,-0.014412906,0.035513084,0.039361097,0.088665165,-0.047983084,0.034208603,-0.080901675
NR3C1,0.08516952,-0.07064061,-0.0076874387,-0.065913,-0.07276135,0.111208744,0.15038744,0.054354265
YIPF5,0.050812226,-0.05938282,0.04426051,-0.015090477,0.005162209,0.00046988006,0.083088025,-0.050495416
PRELID2,0.006510305,0.018250337,-0.047323935,-0.033495344,0.00698573,-0.062410273,-0.062410213,-0.033073843
LARS,0.08224262,-0.099136114,0.03341162,0.0026229618,0.006610761,-0.047946237,0.0018115719,-0.0077473754
CSNK1A1,0.10830664,-0.08530985,-0.02299818,-0.05910149,-0.011517595,0.19565374,0.1712385,-0.0049348488
CCDC69,-0.09845681,0.135393,-0.050343342,-0.00023108567,0.035063025,0.17830867,0.3245752,-0.085567795
SPARC,-0.043545485,-0.009925892,-0.088816255,-0.07377028,-0.022988388,-0.10740544,-0.10740536,-0.03303322
FAXDC2,-0.007012572,-0.032770094,-0.052916083,-0.05291621,-0.05291608,-0.052916087,-0.052916165,-0.052916218
HAVCR2,-0.16427477,0.06674353,-0.18473287,-0.15797527,0.11454352,1.5271387,0.7047987,-0.18239062
MED7,-0.0064902045,-0.06336159,0.0013455951,0.024325747,0.06941675,0.10769604,0.33993217,-0.042765457
UBLCP1,0.11148332,-0.10605159,-0.049367897,-0.016756171,0.15414095,0.15456267,0.102556355,-0.019591827
TTC1,0.13698412,-0.06891489,-0.052190434,0.030477908,-0.037291747,0.07147079,-0.014944592,-0.006394536
CCNG1,0.16792089,-0.22851218,0.078773074,0.02843711,-0.13985041,-0.08531514,0.024431556,6.707226e-05
RARS,0.061703406,-0.038270894,-0.053261634,0.061276227,0.1686359,-0.066917226,0.23572066,-0.048497885
ATP6V0E1,0.19200939,0.063976325,-0.2699539,-0.017262803,0.45508128,0.17454717,0.009647856,-0.06470252
UIMC1,-0.0013957699,-0.0866454,-0.07203868,0.08166823,-0.13052237,0.030659985,0.09279952,0.17806278
LMAN2,0.0061061685,-0.028164051,-0.1305873,0.14253905,0.34231994,0.25088173,0.19000807,-0.11259036
RGS14,0.11817711,-0.07224472,-0.028360087,0.20808615,-0.09366039,-0.10389274,0.016005725,-0.1052361
DOK3,-0.11307526,0.24688704,-0.11210045,-0.11586769,0.34401515,-0.1240406,-0.035554193,0.0068520783
SCGB3A1,0.078823194,-0.21897906,0.3372844,-0.06557089,-0.045478247,-0.22785915,-0.15094489,-0.22785935
RP11-532F6.3,0.0036943243,-0.04507518,-0.020542247,-0.06524594,0.004169757,0.0001129659,0.22494641,-0.00655624
SERPINB1,-0.15260689,0.61077964,-0.23702252,-0.24559885,0.31230286,0.4244654,0.4110239,-0.34185517
LYRM4,-0.033001844,-0.053499218,0.08508969,-0.011029985,-0.011919443,-0.06996482,0.2188158,-0.009070146
F13A1,-0.064951375,0.053706978,-0.035657667,-0.10928757,-0.062975116,-0.10928794,0.031160533,-0.04487784
RIOK1,0.019994276,-0.07538514,-0.0069082617,0.08778685,-0.077621676,-0.027116634,-0.007824402,0.044623587
TMEM14C,0.09298498,0.23323894,-0.0937493,-0.10330726,-0.016277622,-0.32461712,0.5783581,-0.07271484
TMEM14B,0.16948313,-0.07203328,0.017120881,-0.048106167,0.06653213,-0.1739838,-0.07077398,-0.031304333
PHACTR1,-0.20333917,0.17296596,-0.18532543,-0.19079559,0.23069103,-0.21129945,1.7168001,0.39319396
NOL7,0.07491989,-0.13098575,-0.027434807,0.08193118,0.13433425,0.0015689243,0.06770252,0.019681437
MCUR1,0.02946177,-0.017863235,-0.029537607,-0.07278398,0.0024719057,-0.07491449,0.2079865,0.031465296
JARID2,-0.068926215,0.10528038,-0.064337716,-0.03600161,-0.017912831,0.20572959,0.11365425,-0.009633401
GMPR,-0.11941019,0.30932552,-0.107415356,-0.1332904,0.10006327,-0.13329068,0.13843103,-0.09919888
ACOT13,0.038373757,-0.019993547,8.9500485e-05,0.084996566,-0.1627107,-0.08898212,0.04594381,-0.03828866
RP11-367G6.3,0.012077387,-0.07555085,-0.044744294,0.027789326,-0.0957825,-0.038907744,-0.09578259,-0.047764476
HIST1H2AC,-0.093220256,-0.05973586,-0.10595493,-0.11350187,0.18328036,0.056066792,-0.04864482,0.08953764
BTN3A2,0.11171155,-0.22844285,-0.047358435,0.22069931,-0.030931842,0.42219228,-0.32099694,-0.08014557
BTN3A1,-0.04956274,-0.10776805,-0.0065693986,0.20725507,-0.08173072,0.24674748,0.13122174,-0.062918074
ABT1,0.08994998,-0.023524128,-0.04934683,0.04265257,9.599184e-05,0.21496896,-0.03622551,-0.10882993
HIST1H2BJ,-0.008646979,-0.051501974,-0.041485813,-0.042744104,-0.022722658,-0.07168571,-0.071685575,-0.01295867
HIST1H2AH,-0.04339902,-0.043399118,-0.0132837435,0.01432181,-0.043398898,-0.043398894,-0.043398973,-0.014117859
HIST1H1B,-0.041761413,-0.04176141,0.0034039381,-0.041761413,-0.04176144,0.1538573,-0.041761514,-0.041761413
FLOT1,0.02207479,0.07428953,-0.088210896,0.03986347,-0.1698586,0.5043134,0.22603694,-0.18139352
IER3,-0.070629135,0.39179567,-0.16050795,-0.0116608115,-0.14325257,0.096724324,0.29175207,-0.15975846
XXbac-BPG299F13.17,0.031964414,-0.23039447,0.15575668,0.0091938265,-0.13976777,0.101386786,-0.15261638,0.019368555
NFKBIL1,-0.0067793936,0.093405806,-0.057563502,-0.0549223,0.12519951,0.03712055,0.1806644,-0.058736
LTB,0.8636079,-1.0408988,0.38284495,-0.19934994,-0.61429375,-0.94975996,-0.80465704,0.6695072
LST1,-0.45976296,1.3568355,-0.52591604,-0.5279456,2.0274546,-0.5109545,0.8489028,-0.5175481
NCR3,-0.16634263,-0.28830692,-0.176359,0.5962044,-0.25716162,1.0972117,-0.31035414,0.025800388
AIF1,-0.49714863,1.3905472,-0.39208034,-0.57223916,1.8779215,-0.61082464,0.67508435,-0.6136849
CSNK2B,-0.06926096,0.220662,-0.15323813,-0.16072805,0.42074916,0.26330587,0.4395662,-0.084510565
LY6G5B,-0.041819442,-0.021695657,0.0033462874,-0.041819558,-0.04181954,-0.041819543,-0.041819487,-0.041819558
LY6G6F,-0.053668458,-0.05366852,-0.053668633,-0.053668324,-0.053668402,-0.053668395,-0.053668354,-0.024357343
C6orf25,-0.05948943,-0.061309,0.0046032616,-0.023572678,0.061683025,-0.08151239,-0.0815123,-0.08151242
EHMT2,0.067845546,-0.08396275,0.004529563,0.0152559215,0.01199228,0.034998562,-0.08598045,-0.00034571788
PPT2-EGFL8,-0.0296154,-0.009515971,-0.029615398,-0.0007946669,-0.029615398,-0.029615398,-0.0296154,-0.00037453955
AGPAT1,-0.047135137,0.028525552,0.0010041654,-0.0021311715,-0.034955624,0.07695346,0.20667046,-0.09540026
HLA-DRB1,-0.63866204,0.7412147,-0.74180096,-0.36451733,0.8751438,-0.6492685,1.7509453,1.3284137
HLA-DQA1,-0.4364608,-0.04406623,-0.48130548,-0.3174729,0.07806069,-0.46742907,2.276766,1.8592951
HLA-DQB1,-0.32803556,0.034613024,-0.4829346,-0.36430404,-0.17389628,-0.45368847,1.9779748,1.7883023
HLA-DOB,-0.20675729,-0.17328532,-0.17284952,-0.18316741,-0.1670115,-0.13545305,0.1342071,1.1645406
PSMB8,0.027282225,0.11408405,-0.34240806,0.11699263,0.36645332,0.5297915,0.22990404,-0.04850252
HLA-DMB,-0.37514225,0.34980974,-0.38420042,-0.30620298,-0.01530922,-0.385879,1.388664,1.0939122
HLA-DMA,-0.4898613,0.6139592,-0.4979142,-0.35626265,0.04889381,-0.50396377,1.6602651,1.1292113
HLA-DPA1,-0.58821505,0.5774119,-0.70216113,-0.37792823,1.0358586,-0.45095158,1.762262,1.2874154
HLA-DPB1,-0.5750745,0.5210709,-0.69272685,-0.25121614,0.6317128,-0.53982234,1.8243383,1.4080392
RGL2,-0.009497772,0.101857804,-0.09656098,-0.0069720396,-0.072494425,-0.05298885,0.15623984,0.097787686
TAPBP,0.020650957,-0.055778828,-0.09784491,0.033669416,0.075217165,0.12126047,0.25450063,0.120967
DEF6,0.10703725,-0.16322452,0.019274088,0.06611014,-0.04196659,0.49331215,0.02816033,-0.19551198
FKBP5,0.039735697,-0.01020456,0.1241718,-0.09157329,-0.037218824,-0.031228252,0.4075427,-0.1871514
STK38,0.07443737,0.050003167,-0.03583063,-0.045797534,0.010956156,0.15233643,-0.04618437,-0.110112704
SRSF3,0.14748156,-0.011043923,-0.10567177,0.12198335,-0.152146,0.32050887,0.4190134,-0.18481663
OARD1,0.0613886,-0.13661665,0.01056738,0.0012960399,0.079619326,0.059594736,0.16080503,0.03328048
TREML1,-0.073728666,-0.053540807,-0.073729284,-0.054462064,0.04413517,-0.03573584,-0.07372882,-0.023387566
RPL7L1,0.007528784,-0.068143226,0.012600288,0.08675874,-0.14113344,0.08546274,0.31636798,-0.019426674
PTCRA,-0.07844152,-0.060960717,-0.057055015,-0.07844151,0.026485952,-0.07844137,0.59100556,-0.058267966
CNPY3,-0.2500294,0.6750947,-0.25676522,-0.18968025,0.39259356,-0.050266474,0.7055625,-0.17137162
KLC4,0.013579944,-0.020098954,-0.02387598,0.042034242,-0.09667947,-0.034221165,0.48919576,-0.017238868
CRIP3,-0.025781713,-0.04872381,-0.048723694,-0.019848423,-0.048724048,-0.048724055,0.8598675,0.009869092
ABCC10,0.03181131,0.039802894,-0.047173053,0.08625935,-0.05022917,-0.031824727,-0.09739231,-0.097392604
YIPF3,-0.045216244,0.08975218,-0.071472436,-0.033872765,0.19031556,0.17480369,0.13170402,-0.07816477
GTPBP2,-0.029819679,0.07796617,-0.06256923,-0.091371424,0.011183284,-0.025842883,-0.09137113,-0.0031083794
RSPH9,-0.04451117,0.015876764,-0.04451138,-0.04451104,0.024761278,-0.044511206,-0.044511158,-0.044511043
MRPS18A,-0.06388717,-0.044441126,-0.01766604,-0.036653854,0.03572693,0.059691347,-0.14304629,0.19740382
PLA2G7,-0.10337102,0.44963858,-0.119489126,-0.11948893,-0.078696996,-0.119489014,0.021174192,-0.119488955
CD2AP,0.07341344,-0.06109152,-0.024790576,-0.06019742,-0.017736804,0.10139909,0.31790963,0.020627508
MCM3,0.0320565,-0.06980387,0.045082107,-0.015353525,-0.06468623,0.16624153,-0.15824214,-0.04027864
PHF3,-0.004235627,-0.01277777,0.024441661,0.009452101,0.1633262,-0.072099954,0.1319429,-0.080119446
SH3BGRL2,-0.05731534,-0.037160277,-0.012079923,0.000485508,-0.05731524,0.007991992,-0.057315204,-0.057315204
ELOVL4,0.076697536,-0.044448186,-0.052745573,0.119838946,-0.08297945,-0.08297943,-0.08297946,-0.0602892
SNX14,0.099820636,-0.047706887,-0.0279295,-0.059925646,-0.001286893,0.14012466,-0.10420351,-0.0016170158
SLC35A1,0.030003162,0.020942027,-0.044587247,-0.029380029,0.047089286,0.2555824,0.33430487,-0.11937476
PNRC1,0.15202984,-0.06748636,0.016166452,-0.08523565,-0.011357566,-0.13049735,-0.060150545,0.04970345
LYRM2,0.086084865,-0.09228244,-0.0374479,0.010145237,0.07982986,0.23701522,0.17348567,-0.06606831
MAP3K7,-0.0086637065,-0.021889785,-0.027953982,0.023797251,0.07720409,0.009866155,0.36950275,-0.008249235
MANEA-AS1,-0.050854776,-0.013290184,-0.013441516,-0.044906586,0.05402351,-0.07385444,-0.073854424,0.04362491
NDUFAF4,0.09033239,-0.15641831,0.021123659,0.11971649,-0.06259404,0.028502712,-0.12006618,-0.022441758
SNX3,-0.2606687,0.26832864,-0.25836515,-0.28207156,0.55091816,0.03137012,0.7085463,0.37601593
CDC40,-0.09635676,-0.0784415,-0.033305477,-0.05174875,0.10041728,0.07434836,0.19317147,0.268476
CDK19,-0.05879228,0.067053065,-0.04108549,0.057635136,0.09369578,-0.08462621,0.102150306,-0.034703437
HDAC2,0.046145596,-0.07846382,-0.05404695,0.029650385,0.13398167,0.1854847,0.3108964,-0.034202136
ZUFSP,0.042589597,-0.0202889,-0.0042903167,-0.0066622556,-0.0783974,-0.0059703295,-0.01934289,0.011399844
CEP85L,0.05551008,-0.02863739,0.012489159,-0.006632504,0.02071801,-0.112433925,-0.053289697,-0.00785388
SMPDL3A,-0.117871456,0.1202856,-0.117871776,-0.11787175,1.0240115,-0.117872074,-0.11787199,-0.070510365
ECHDC1,-0.05856678,0.059321914,-0.06734459,-0.023874493,-0.04924206,0.13771139,0.22197972,0.0934062
ARHGAP18,-0.103224896,0.10851127,-0.06011813,-0.035457313,0.049359605,-0.0053939526,0.17157793,0.019893426
SAMD3,-0.048032243,-0.30962768,-0.0811719,0.6371525,-0.2743282,1.0509547,-0.2939817,-0.2929081
LINC01013,-0.060289826,-0.060289774,-0.060290065,-0.06028994,0.007258599,-0.060289953,-0.06028997,0.2036842
TBPL1,0.090731114,-0.07170842,-0.0582289,0.04095773,0.010610987,0.095644504,0.032178387,-0.0076178308
SGK1,-0.12239177,0.41699353,-0.1067101,-0.14642592,0.13835144,-0.16928206,0.33046642,-0.10549724
RP3-325F22.5,0.0050070807,-0.02620908,-0.032159463,0.05332743,-0.062331285,-0.06233128,-0.06233134,-0.032995034
ABRACL,0.15430254,-0.15855494,0.051448792,-0.0019065978,0.45353746,0.0109076435,0.14275834,-0.25761658
LTV1,0.04064706,-0.122307,0.06483808,-0.05367148,-0.03159363,0.055284835,0.3997343,0.007889757
SF3B5,0.07476016,0.2611023,-0.18074496,-0.054348372,0.09582,0.20070212,0.32051486,-0.21339422
STX11,-0.3028561,0.7760998,-0.32641724,-0.17551689,0.92781234,-0.12407792,0.035511494,-0.3320607
RP11-545I5.3,-0.04025285,-0.04025283,-0.025199965,0.01744963,-0.04025301,0.02494344,0.45448714,-0.040252898
PPIL4,-0.04380465,-0.001969536,0.03934577,0.10022492,-0.1162718,-0.08080617,-0.040318783,-0.034161683
GINM1,0.08238717,-0.011328917,-0.046923835,-0.044285472,0.24540672,-0.15039606,0.39486387,-0.018471386
PCMT1,0.023338912,0.09432989,-0.08200574,-0.053934168,0.23615722,0.1522287,0.27768615,-0.13159993
TMEM242,0.027630514,-0.079341665,-0.01815624,0.08013961,0.051187523,0.12431513,0.3463328,-0.06725302
SNX9,0.07403391,-0.04185504,-0.020758241,-0.12974349,0.23908465,-0.12563929,0.3373252,0.037129376
SERAC1,-0.05676857,-0.016461197,-0.011535753,0.0010286309,0.009910452,0.008534803,-0.05676889,-0.05676861
DYNLT1,-0.07085129,0.5133832,-0.24276164,-0.077556446,0.4572906,0.058120973,0.051495798,-0.3165152
RP1-111C20.4,-0.035917208,0.0015915603,-0.04380153,-0.029977867,0.07986052,-0.058882687,-0.058882598,-0.00023029314
WTAP,0.15988971,-0.1216973,-0.0027944983,0.11390345,-0.08387316,0.13246594,-0.24582562,-0.13271374
ACAT2,0.1376488,-0.11137432,-0.0497562,0.002644664,-0.11775029,0.33769172,0.12634382,-0.02835293
TCP1,0.06857427,-0.15636542,-0.004441021,0.06993755,0.093579605,0.0945346,-0.04806927,0.0024401562
AC147651.3,-0.043707326,-0.014777667,-0.051598128,-0.06669057,-0.009958254,-0.06669073,-0.06669071,-0.037341695
NUDT1,0.034371216,0.053910546,-0.03871361,-0.08315935,0.23950511,-0.116007134,0.4089697,-0.038777314
BRAT1,0.0028871777,0.0019248123,-0.021150908,0.0332831,-0.05276083,-0.021595772,-0.06310866,0.034225732
IQCE,-0.06698802,0.07290584,-0.021709265,-0.009131888,-0.06698808,-0.0016180262,-0.06698821,-0.06698803
TNRC18,-0.09981805,0.14491,-0.05779335,-0.07148955,0.044993397,-0.03423456,0.3234149,0.016222794
DAGLB,-0.024967112,0.11660246,-0.05667691,-0.045627043,0.07115254,-0.07104396,0.027705945,-0.019378703
C7orf26,-0.025637949,-0.027565759,-0.0019873374,0.025208874,0.01754769,0.007357715,-0.06758766,0.049978614
PHF14,-0.018102635,-0.15661387,-0.017210564,0.0937685,0.01085212,0.061654042,0.03256152,0.16556086
ARL4A,-0.016681047,0.058110002,-0.082741916,-0.19561334,0.25705025,-0.1307948,0.00389959,0.26028523
HDAC9,-0.10458938,0.072673686,-0.09660741,-0.058349982,-0.013600495,-0.08470082,0.49652094,0.24319254
IL6,-0.072044306,-0.017056216,-0.077005684,-0.09208682,0.018588828,-0.09208685,-0.09208701,0.33909395
NUPL2,0.084783494,-0.08442058,0.014414785,0.017424636,-0.095647186,0.05229973,0.25863844,-0.029658599
AC005082.12,-0.0401637,0.10275645,-0.007459169,-0.08053578,-0.02581049,-0.015077526,-0.08053557,-0.051146425
